date,day_of_week,dow_index,weather,item,units_made,units_sold,units_waste,unit_price,unit_cost,revenue,waste_cost
2024-02-09,Friday,4,sunny,croissant,38,35,3,3.5,1.2,122.5,3.6
2024-02-09,Friday,4,sunny,muffin,32,27,5,2.75,0.9,74.25,4.5
2024-02-09,Friday,4,sunny,sourdough,15,15,0,8.0,2.5,120.0,0.0
2024-02-09,Friday,4,sunny,baguette,21,18,3,4.0,1.3,72.0,3.9
2024-02-09,Friday,4,sunny,cookie,57,49,8,1.5,0.4,73.5,3.2
2024-02-10,Saturday,5,sunny,croissant,97,86,11,3.5,1.2,301.0,13.2
2024-02-10,Saturday,5,sunny,muffin,69,59,10,2.75,0.9,162.25,9.0
2024-02-10,Saturday,5,sunny,sourdough,38,33,5,8.0,2.5,264.0,12.5
2024-02-10,Saturday,5,sunny,baguette,46,40,6,4.0,1.3,160.0,7.8
2024-02-10,Saturday,5,sunny,cookie,97,82,15,1.5,0.4,123.0,6.0
2024-02-11,Sunday,6,sunny,croissant,71,66,5,3.5,1.2,231.0,6.0
2024-02-11,Sunday,6,sunny,muffin,49,43,6,2.75,0.9,118.25,5.4
2024-02-11,Sunday,6,sunny,sourdough,34,31,3,8.0,2.5,248.0,7.5
2024-02-11,Sunday,6,sunny,baguette,40,37,3,4.0,1.3,148.0,3.9
2024-02-11,Sunday,6,sunny,cookie,67,62,5,1.5,0.4,93.0,2.0
2024-02-12,Monday,0,sunny,croissant,29,26,3,3.5,1.2,91.0,3.6
2024-02-12,Monday,0,sunny,muffin,19,18,1,2.75,0.9,49.5,0.9
2024-02-12,Monday,0,sunny,sourdough,12,11,1,8.0,2.5,88.0,2.5
2024-02-12,Monday,0,sunny,baguette,13,12,1,4.0,1.3,48.0,1.3
2024-02-12,Monday,0,sunny,cookie,38,35,3,1.5,0.4,52.5,1.2
2024-02-13,Tuesday,1,rainy,croissant,40,34,6,3.5,1.2,119.0,7.2
2024-02-13,Tuesday,1,rainy,muffin,33,29,4,2.75,0.9,79.75,3.6
2024-02-13,Tuesday,1,rainy,sourdough,12,11,1,8.0,2.5,88.0,2.5
2024-02-13,Tuesday,1,rainy,baguette,14,14,0,4.0,1.3,56.0,0.0
2024-02-13,Tuesday,1,rainy,cookie,50,43,7,1.5,0.4,64.5,2.8
2024-02-14,Wednesday,2,sunny,croissant,42,38,4,3.5,1.2,133.0,4.8
2024-02-14,Wednesday,2,sunny,muffin,30,27,3,2.75,0.9,74.25,2.7
2024-02-14,Wednesday,2,sunny,sourdough,14,13,1,8.0,2.5,104.0,2.5
2024-02-14,Wednesday,2,sunny,baguette,16,15,1,4.0,1.3,60.0,1.3
2024-02-14,Wednesday,2,sunny,cookie,39,36,3,1.5,0.4,54.0,1.2
2024-02-15,Thursday,3,sunny,croissant,36,34,2,3.5,1.2,119.0,2.4
2024-02-15,Thursday,3,sunny,muffin,27,26,1,2.75,0.9,71.5,0.9
2024-02-15,Thursday,3,sunny,sourdough,13,13,0,8.0,2.5,104.0,0.0
2024-02-15,Thursday,3,sunny,baguette,19,17,2,4.0,1.3,68.0,2.6
2024-02-15,Thursday,3,sunny,cookie,43,38,5,1.5,0.4,57.0,2.0
2024-02-16,Friday,4,rainy,croissant,45,43,2,3.5,1.2,150.5,2.4
2024-02-16,Friday,4,rainy,muffin,36,34,2,2.75,0.9,93.5,1.8
2024-02-16,Friday,4,rainy,sourdough,13,12,1,8.0,2.5,96.0,2.5
2024-02-16,Friday,4,rainy,baguette,20,18,2,4.0,1.3,72.0,2.6
2024-02-16,Friday,4,rainy,cookie,68,63,5,1.5,0.4,94.5,2.0
2024-02-17,Saturday,5,rainy,croissant,80,71,9,3.5,1.2,248.5,10.8
2024-02-17,Saturday,5,rainy,muffin,79,72,7,2.75,0.9,198.0,6.3
2024-02-17,Saturday,5,rainy,sourdough,35,30,5,8.0,2.5,240.0,12.5
2024-02-17,Saturday,5,rainy,baguette,46,40,6,4.0,1.3,160.0,7.8
2024-02-17,Saturday,5,rainy,cookie,113,105,8,1.5,0.4,157.5,3.2
2024-02-18,Sunday,6,rainy,croissant,70,66,4,3.5,1.2,231.0,4.8
2024-02-18,Sunday,6,rainy,muffin,66,59,7,2.75,0.9,162.25,6.3
2024-02-18,Sunday,6,rainy,sourdough,26,23,3,8.0,2.5,184.0,7.5
2024-02-18,Sunday,6,rainy,baguette,38,36,2,4.0,1.3,144.0,2.6
2024-02-18,Sunday,6,rainy,cookie,98,85,13,1.5,0.4,127.5,5.2
2024-02-19,Monday,0,rainy,croissant,39,33,6,3.5,1.2,115.5,7.2
2024-02-19,Monday,0,rainy,muffin,23,22,1,2.75,0.9,60.5,0.9
2024-02-19,Monday,0,rainy,sourdough,9,8,1,8.0,2.5,64.0,2.5
2024-02-19,Monday,0,rainy,baguette,16,15,1,4.0,1.3,60.0,1.3
2024-02-19,Monday,0,rainy,cookie,44,42,2,1.5,0.4,63.0,0.8
2024-02-20,Tuesday,1,sunny,croissant,35,33,2,3.5,1.2,115.5,2.4
2024-02-20,Tuesday,1,sunny,muffin,29,25,4,2.75,0.9,68.75,3.6
2024-02-20,Tuesday,1,sunny,sourdough,12,12,0,8.0,2.5,96.0,0.0
2024-02-20,Tuesday,1,sunny,baguette,21,18,3,4.0,1.3,72.0,3.9
2024-02-20,Tuesday,1,sunny,cookie,42,38,4,1.5,0.4,57.0,1.6
2024-02-21,Wednesday,2,sunny,croissant,37,34,3,3.5,1.2,119.0,3.6
2024-02-21,Wednesday,2,sunny,muffin,32,28,4,2.75,0.9,77.0,3.6
2024-02-21,Wednesday,2,sunny,sourdough,13,11,2,8.0,2.5,88.0,5.0
2024-02-21,Wednesday,2,sunny,baguette,19,17,2,4.0,1.3,68.0,2.6
2024-02-21,Wednesday,2,sunny,cookie,50,45,5,1.5,0.4,67.5,2.0
2024-02-22,Thursday,3,sunny,croissant,44,41,3,3.5,1.2,143.5,3.6
2024-02-22,Thursday,3,sunny,muffin,32,29,3,2.75,0.9,79.75,2.7
2024-02-22,Thursday,3,sunny,sourdough,14,13,1,8.0,2.5,104.0,2.5
2024-02-22,Thursday,3,sunny,baguette,20,19,1,4.0,1.3,76.0,1.3
2024-02-22,Thursday,3,sunny,cookie,57,49,8,1.5,0.4,73.5,3.2
2024-02-23,Friday,4,rainy,croissant,53,49,4,3.5,1.2,171.5,4.8
2024-02-23,Friday,4,rainy,muffin,39,35,4,2.75,0.9,96.25,3.6
2024-02-23,Friday,4,rainy,sourdough,13,13,0,8.0,2.5,104.0,0.0
2024-02-23,Friday,4,rainy,baguette,22,21,1,4.0,1.3,84.0,1.3
2024-02-23,Friday,4,rainy,cookie,60,52,8,1.5,0.4,78.0,3.2
2024-02-24,Saturday,5,sunny,croissant,97,84,13,3.5,1.2,294.0,15.6
2024-02-24,Saturday,5,sunny,muffin,51,49,2,2.75,0.9,134.75,1.8
2024-02-24,Saturday,5,sunny,sourdough,38,36,2,8.0,2.5,288.0,5.0
2024-02-24,Saturday,5,sunny,baguette,48,43,5,4.0,1.3,172.0,6.5
2024-02-24,Saturday,5,sunny,cookie,100,87,13,1.5,0.4,130.5,5.2
2024-02-25,Sunday,6,sunny,croissant,78,67,11,3.5,1.2,234.5,13.2
2024-02-25,Sunday,6,sunny,muffin,44,41,3,2.75,0.9,112.75,2.7
2024-02-25,Sunday,6,sunny,sourdough,32,30,2,8.0,2.5,240.0,5.0
2024-02-25,Sunday,6,sunny,baguette,40,36,4,4.0,1.3,144.0,5.2
2024-02-25,Sunday,6,sunny,cookie,80,72,8,1.5,0.4,108.0,3.2
2024-02-26,Monday,0,sunny,croissant,30,26,4,3.5,1.2,91.0,4.8
2024-02-26,Monday,0,sunny,muffin,20,19,1,2.75,0.9,52.25,0.9
2024-02-26,Monday,0,sunny,sourdough,9,9,0,8.0,2.5,72.0,0.0
2024-02-26,Monday,0,sunny,baguette,13,12,1,4.0,1.3,48.0,1.3
2024-02-26,Monday,0,sunny,cookie,39,37,2,1.5,0.4,55.5,0.8
2024-02-27,Tuesday,1,rainy,croissant,40,35,5,3.5,1.2,122.5,6.0
2024-02-27,Tuesday,1,rainy,muffin,36,32,4,2.75,0.9,88.0,3.6
2024-02-27,Tuesday,1,rainy,sourdough,10,10,0,8.0,2.5,80.0,0.0
2024-02-27,Tuesday,1,rainy,baguette,14,13,1,4.0,1.3,52.0,1.3
2024-02-27,Tuesday,1,rainy,cookie,43,41,2,1.5,0.4,61.5,0.8
2024-02-28,Wednesday,2,sunny,croissant,37,31,6,3.5,1.2,108.5,7.2
2024-02-28,Wednesday,2,sunny,muffin,28,25,3,2.75,0.9,68.75,2.7
2024-02-28,Wednesday,2,sunny,sourdough,12,11,1,8.0,2.5,88.0,2.5
2024-02-28,Wednesday,2,sunny,baguette,18,16,2,4.0,1.3,64.0,2.6
2024-02-28,Wednesday,2,sunny,cookie,48,43,5,1.5,0.4,64.5,2.0
2024-02-29,Thursday,3,sunny,croissant,33,32,1,3.5,1.2,112.0,1.2
2024-02-29,Thursday,3,sunny,muffin,33,30,3,2.75,0.9,82.5,2.7
2024-02-29,Thursday,3,sunny,sourdough,15,14,1,8.0,2.5,112.0,2.5
2024-02-29,Thursday,3,sunny,baguette,17,15,2,4.0,1.3,60.0,2.6
2024-02-29,Thursday,3,sunny,cookie,40,38,2,1.5,0.4,57.0,0.8
2024-03-01,Friday,4,sunny,croissant,44,37,7,3.5,1.2,129.5,8.4
2024-03-01,Friday,4,sunny,muffin,30,26,4,2.75,0.9,71.5,3.6
2024-03-01,Friday,4,sunny,sourdough,17,15,2,8.0,2.5,120.0,5.0
2024-03-01,Friday,4,sunny,baguette,20,18,2,4.0,1.3,72.0,2.6
2024-03-01,Friday,4,sunny,cookie,54,49,5,1.5,0.4,73.5,2.0
2024-03-02,Saturday,5,sunny,croissant,94,86,8,3.5,1.2,301.0,9.6
2024-03-02,Saturday,5,sunny,muffin,61,54,7,2.75,0.9,148.5,6.3
2024-03-02,Saturday,5,sunny,sourdough,40,34,6,8.0,2.5,272.0,15.0
2024-03-02,Saturday,5,sunny,baguette,38,36,2,4.0,1.3,144.0,2.6
2024-03-02,Saturday,5,sunny,cookie,90,84,6,1.5,0.4,126.0,2.4
2024-03-03,Sunday,6,rainy,croissant,67,64,3,3.5,1.2,224.0,3.6
2024-03-03,Sunday,6,rainy,muffin,62,55,7,2.75,0.9,151.25,6.3
2024-03-03,Sunday,6,rainy,sourdough,26,24,2,8.0,2.5,192.0,5.0
2024-03-03,Sunday,6,rainy,baguette,41,36,5,4.0,1.3,144.0,6.5
